Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
DoVit_Maestro_Exit1,PatchEmbed_Projection,64,51580929,664641,2.98833,4496.15,9848390000,77810.9,5,2.98832,5,1,5,3074,1536,1,1,150528,786432,231916000000,154140672,78.2272,339.149,10.6053,77382.9,154140672,153355008,153355008,150528,1.00512,154140672,786432,786432,786432,196,154140672,154140672,44729344,200704,1,1,1,1,1,1,1,257,257,257,3,1
DoVit_Maestro_Exit1,BB_L0_Attn_Q_Proj,64,6422529,1200790,32,26649.1,9848380000,77463.4,64,32.1531,64,1,64,258,6,1,1,200704,1048576,171155000000,205520896,78.2272,1.3248,0.8901,77382.9,205520896,205455424,205455424,200704,1.00032,205520896,1048576,1048576,1048576,196,205520896,205520896,200704,3211264,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L0_Attn_K_Proj,64,6422529,1300440,32,24607.1,9848380000,77463.4,64,32.1531,64,1,64,258,6,1,1,200704,1048576,158040000000,205520896,78.2272,1.3248,0.8901,77382.9,205520896,205455424,205455424,200704,1.00032,205520896,1048576,1048576,1048576,196,205520896,205520896,200704,3211264,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L0_Attn_V_Proj,64,6422529,1300440,32,24607.1,9848380000,77463.4,64,32.1531,64,1,64,258,6,1,1,200704,1048576,158040000000,205520896,78.2272,1.3248,0.8901,77382.9,205520896,205455424,205455424,200704,1.00032,205520896,1048576,1048576,1048576,196,205520896,205520896,200704,3211264,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L0_Attn_Out_Proj,64,6422529,1300440,32,24607.1,9848380000,77463.4,64,32.1531,64,1,64,258,6,1,1,200704,1048576,158040000000,205520896,78.2272,1.3248,0.8901,77382.9,205520896,205455424,205455424,200704,1.00032,205520896,1048576,1048576,1048576,196,205520896,205520896,200704,3211264,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L0_FFN1,64,25690113,4006830,32,7986.35,9848380000,77463.4,64,32.1531,64,1,64,258,6,1,1,200704,4194304,205170000000,822083584,78.2272,1.3248,0.8901,77382.9,822083584,821821504,821821504,200704,1.00032,822083584,4194304,4194304,4194304,196,822083584,822083584,802816,12845056,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L0_FFN2,64,25690113,5202590,32,6150.78,9848380000,77463.4,64,32.1607,64,1,64,258,6,1,1,802816,4194304,158014000000,822083584,78.2272,1.3248,0.8901,77382.9,822083584,822018112,822018112,802816,1.00008,822083584,4194304,4194304,4194304,196,822083584,822083584,200704,12845056,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L1_Attn_Q_Proj,64,6422529,2492850,32,12836.7,9848380000,77463.4,64,32.1531,64,1,64,258,6,1,1,200704,1048576,82444100000,205520896,78.2272,1.3248,0.8901,77382.9,205520896,205455424,205455424,200704,1.00032,205520896,1048576,1048576,1048576,196,205520896,205520896,200704,3211264,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L1_Attn_K_Proj,64,6422529,1300440,32,24607.1,9848380000,77463.4,64,32.1531,64,1,64,258,6,1,1,200704,1048576,158040000000,205520896,78.2272,1.3248,0.8901,77382.9,205520896,205455424,205455424,200704,1.00032,205520896,1048576,1048576,1048576,196,205520896,205520896,200704,3211264,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L1_Attn_V_Proj,64,6422529,1300440,32,24607.1,9848380000,77463.4,64,32.1531,64,1,64,258,6,1,1,200704,1048576,158040000000,205520896,78.2272,1.3248,0.8901,77382.9,205520896,205455424,205455424,200704,1.00032,205520896,1048576,1048576,1048576,196,205520896,205520896,200704,3211264,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L1_Attn_Out_Proj,64,6422529,1300440,32,24607.1,9848380000,77463.4,64,32.1531,64,1,64,258,6,1,1,200704,1048576,158040000000,205520896,78.2272,1.3248,0.8901,77382.9,205520896,205455424,205455424,200704,1.00032,205520896,1048576,1048576,1048576,196,205520896,205520896,200704,3211264,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L1_FFN1,64,25690113,4006830,32,7986.35,9848380000,77463.4,64,32.1531,64,1,64,258,6,1,1,200704,4194304,205170000000,822083584,78.2272,1.3248,0.8901,77382.9,822083584,821821504,821821504,200704,1.00032,822083584,4194304,4194304,4194304,196,822083584,822083584,802816,12845056,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L1_FFN2,64,25690113,5202590,32,6150.78,9848380000,77463.4,64,32.1607,64,1,64,258,6,1,1,802816,4194304,158014000000,822083584,78.2272,1.3248,0.8901,77382.9,822083584,822018112,822018112,802816,1.00008,822083584,4194304,4194304,4194304,196,822083584,822083584,200704,12845056,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L2_Attn_Q_Proj,64,6422529,2492850,32,12836.7,9848380000,77463.4,64,32.1531,64,1,64,258,6,1,1,200704,1048576,82444100000,205520896,78.2272,1.3248,0.8901,77382.9,205520896,205455424,205455424,200704,1.00032,205520896,1048576,1048576,1048576,196,205520896,205520896,200704,3211264,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L2_Attn_K_Proj,64,6422529,1300440,32,24607.1,9848380000,77463.4,64,32.1531,64,1,64,258,6,1,1,200704,1048576,158040000000,205520896,78.2272,1.3248,0.8901,77382.9,205520896,205455424,205455424,200704,1.00032,205520896,1048576,1048576,1048576,196,205520896,205520896,200704,3211264,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L2_Attn_V_Proj,64,6422529,1300440,32,24607.1,9848380000,77463.4,64,32.1531,64,1,64,258,6,1,1,200704,1048576,158040000000,205520896,78.2272,1.3248,0.8901,77382.9,205520896,205455424,205455424,200704,1.00032,205520896,1048576,1048576,1048576,196,205520896,205520896,200704,3211264,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L2_Attn_Out_Proj,64,6422529,1300440,32,24607.1,9848380000,77463.4,64,32.1531,64,1,64,258,6,1,1,200704,1048576,158040000000,205520896,78.2272,1.3248,0.8901,77382.9,205520896,205455424,205455424,200704,1.00032,205520896,1048576,1048576,1048576,196,205520896,205520896,200704,3211264,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L2_FFN1,64,25690113,4006830,32,7986.35,9848380000,77463.4,64,32.1531,64,1,64,258,6,1,1,200704,4194304,205170000000,822083584,78.2272,1.3248,0.8901,77382.9,822083584,821821504,821821504,200704,1.00032,822083584,4194304,4194304,4194304,196,822083584,822083584,802816,12845056,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L2_FFN2,64,25690113,5202590,32,6150.78,9848380000,77463.4,64,32.1607,64,1,64,258,6,1,1,802816,4194304,158014000000,822083584,78.2272,1.3248,0.8901,77382.9,822083584,822018112,822018112,802816,1.00008,822083584,4194304,4194304,4194304,196,822083584,822083584,200704,12845056,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L3_Attn_Q_Proj,64,6422529,2492850,32,12836.7,9848380000,77463.4,64,32.1531,64,1,64,258,6,1,1,200704,1048576,82444100000,205520896,78.2272,1.3248,0.8901,77382.9,205520896,205455424,205455424,200704,1.00032,205520896,1048576,1048576,1048576,196,205520896,205520896,200704,3211264,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L3_Attn_K_Proj,64,6422529,1300440,32,24607.1,9848380000,77463.4,64,32.1531,64,1,64,258,6,1,1,200704,1048576,158040000000,205520896,78.2272,1.3248,0.8901,77382.9,205520896,205455424,205455424,200704,1.00032,205520896,1048576,1048576,1048576,196,205520896,205520896,200704,3211264,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L3_Attn_V_Proj,64,6422529,1300440,32,24607.1,9848380000,77463.4,64,32.1531,64,1,64,258,6,1,1,200704,1048576,158040000000,205520896,78.2272,1.3248,0.8901,77382.9,205520896,205455424,205455424,200704,1.00032,205520896,1048576,1048576,1048576,196,205520896,205520896,200704,3211264,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L3_Attn_Out_Proj,64,6422529,1300440,32,24607.1,9848380000,77463.4,64,32.1531,64,1,64,258,6,1,1,200704,1048576,158040000000,205520896,78.2272,1.3248,0.8901,77382.9,205520896,205455424,205455424,200704,1.00032,205520896,1048576,1048576,1048576,196,205520896,205520896,200704,3211264,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L3_FFN1,64,25690113,4006830,32,7986.35,9848380000,77463.4,64,32.1531,64,1,64,258,6,1,1,200704,4194304,205170000000,822083584,78.2272,1.3248,0.8901,77382.9,822083584,821821504,821821504,200704,1.00032,822083584,4194304,4194304,4194304,196,822083584,822083584,802816,12845056,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L3_FFN2,64,25690113,5202590,32,6150.78,9848380000,77463.4,64,32.1607,64,1,64,258,6,1,1,802816,4194304,158014000000,822083584,78.2272,1.3248,0.8901,77382.9,822083584,822018112,822018112,802816,1.00008,822083584,4194304,4194304,4194304,196,822083584,822083584,200704,12845056,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L4_Attn_Q_Proj,64,6422529,2492850,32,12836.7,9848380000,77463.4,64,32.1531,64,1,64,258,6,1,1,200704,1048576,82444100000,205520896,78.2272,1.3248,0.8901,77382.9,205520896,205455424,205455424,200704,1.00032,205520896,1048576,1048576,1048576,196,205520896,205520896,200704,3211264,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L4_Attn_K_Proj,64,6422529,1300440,32,24607.1,9848380000,77463.4,64,32.1531,64,1,64,258,6,1,1,200704,1048576,158040000000,205520896,78.2272,1.3248,0.8901,77382.9,205520896,205455424,205455424,200704,1.00032,205520896,1048576,1048576,1048576,196,205520896,205520896,200704,3211264,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L4_Attn_V_Proj,64,6422529,1300440,32,24607.1,9848380000,77463.4,64,32.1531,64,1,64,258,6,1,1,200704,1048576,158040000000,205520896,78.2272,1.3248,0.8901,77382.9,205520896,205455424,205455424,200704,1.00032,205520896,1048576,1048576,1048576,196,205520896,205520896,200704,3211264,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L4_Attn_Out_Proj,64,6422529,1300440,32,24607.1,9848380000,77463.4,64,32.1531,64,1,64,258,6,1,1,200704,1048576,158040000000,205520896,78.2272,1.3248,0.8901,77382.9,205520896,205455424,205455424,200704,1.00032,205520896,1048576,1048576,1048576,196,205520896,205520896,200704,3211264,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L4_FFN1,64,25690113,4006830,32,7986.35,9848380000,77463.4,64,32.1531,64,1,64,258,6,1,1,200704,4194304,205170000000,822083584,78.2272,1.3248,0.8901,77382.9,822083584,821821504,821821504,200704,1.00032,822083584,4194304,4194304,4194304,196,822083584,822083584,802816,12845056,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L4_FFN2,64,25690113,5202590,32,6150.78,9848380000,77463.4,64,32.1607,64,1,64,258,6,1,1,802816,4194304,158014000000,822083584,78.2272,1.3248,0.8901,77382.9,822083584,822018112,822018112,802816,1.00008,822083584,4194304,4194304,4194304,196,822083584,822083584,200704,12845056,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L5_Attn_Q_Proj,64,6422529,2492850,32,12836.7,9848380000,77463.4,64,32.1531,64,1,64,258,6,1,1,200704,1048576,82444100000,205520896,78.2272,1.3248,0.8901,77382.9,205520896,205455424,205455424,200704,1.00032,205520896,1048576,1048576,1048576,196,205520896,205520896,200704,3211264,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L5_Attn_K_Proj,64,6422529,1300440,32,24607.1,9848380000,77463.4,64,32.1531,64,1,64,258,6,1,1,200704,1048576,158040000000,205520896,78.2272,1.3248,0.8901,77382.9,205520896,205455424,205455424,200704,1.00032,205520896,1048576,1048576,1048576,196,205520896,205520896,200704,3211264,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L5_Attn_V_Proj,64,6422529,1300440,32,24607.1,9848380000,77463.4,64,32.1531,64,1,64,258,6,1,1,200704,1048576,158040000000,205520896,78.2272,1.3248,0.8901,77382.9,205520896,205455424,205455424,200704,1.00032,205520896,1048576,1048576,1048576,196,205520896,205520896,200704,3211264,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L5_Attn_Out_Proj,64,6422529,1300440,32,24607.1,9848380000,77463.4,64,32.1531,64,1,64,258,6,1,1,200704,1048576,158040000000,205520896,78.2272,1.3248,0.8901,77382.9,205520896,205455424,205455424,200704,1.00032,205520896,1048576,1048576,1048576,196,205520896,205520896,200704,3211264,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L5_FFN1,64,25690113,4006830,32,7986.35,9848380000,77463.4,64,32.1531,64,1,64,258,6,1,1,200704,4194304,205170000000,822083584,78.2272,1.3248,0.8901,77382.9,822083584,821821504,821821504,200704,1.00032,822083584,4194304,4194304,4194304,196,822083584,822083584,802816,12845056,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,BB_L5_FFN2,64,25690113,5202590,32,6150.78,9848380000,77463.4,64,32.1607,64,1,64,258,6,1,1,802816,4194304,158014000000,822083584,78.2272,1.3248,0.8901,77382.9,822083584,822018112,822018112,802816,1.00008,822083584,4194304,4194304,4194304,196,822083584,822083584,200704,12845056,1,1,1,1,1,1,1,2,2,2,64,1
DoVit_Maestro_Exit1,AuxHead1_ConvSeg,64,188161,1617150,31.9998,19787.8,9848380000,77463.4,64,32.1534,64,1,64,258,6,1,1,200704,30720,3723290000,6021120,78.2272,1.3248,0.8901,77382.9,6021120,6019264,6019264,200704,1.00031,6021120,30720,30720,30720,196,6021120,6021120,5880,94080,1,1,1,1,1,1,1,2,2,2,64,1
,,,514191142,94611271,1186.98813,642867.13,374238450000,2943956.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
