Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
DoVit_Maestro_Exit1,PatchEmbed_Projection,64,82288794,664641,1.87317,2818.31,3232510,437.627,3,1.87316,3,1,3,3074,1536,1,1,150528,786432,231916000000,154140672,78.2272,339.149,10.6053,9.64605,154140672,153355008,153355008,150528,1.00512,154140672,786432,786432,786432,196,154140672,154140672,44729344,200704,1,77,154,77,1,1,1,410,410,410,3,1
DoVit_Maestro_Exit1,BB_L0_Attn_Q_Proj,64,44957709,1200790,4.57143,3807.01,3222030,90.0881,9,4.5933,9,1,9,258,6,1,1,200704,1048576,171155000000,205520896,78.2272,1.3248,0.8901,9.64605,205520896,205455424,205455424,200704,1.00032,205520896,1048576,1048576,1048576,196,205520896,205520896,200704,3211264,1,7,13,7,1,1,1,14,14,14,64,1
DoVit_Maestro_Exit1,BB_L0_Attn_K_Proj,64,44957709,1300440,4.57143,3515.3,3222030,90.0881,9,4.5933,9,1,9,258,6,1,1,200704,1048576,158040000000,205520896,78.2272,1.3248,0.8901,9.64605,205520896,205455424,205455424,200704,1.00032,205520896,1048576,1048576,1048576,196,205520896,205520896,200704,3211264,1,7,13,7,1,1,1,14,14,14,64,1
DoVit_Maestro_Exit1,BB_L0_Attn_V_Proj,64,44957709,1300440,4.57143,3515.3,3222030,90.0881,9,4.5933,9,1,9,258,6,1,1,200704,1048576,158040000000,205520896,78.2272,1.3248,0.8901,9.64605,205520896,205455424,205455424,200704,1.00032,205520896,1048576,1048576,1048576,196,205520896,205520896,200704,3211264,1,7,13,7,1,1,1,14,14,14,64,1
DoVit_Maestro_Exit1,BB_L0_Attn_Out_Proj,64,44957709,1300440,4.57143,3515.3,3222030,90.0881,9,4.5933,9,1,9,258,6,1,1,200704,1048576,158040000000,205520896,78.2272,1.3248,0.8901,9.64605,205520896,205455424,205455424,200704,1.00032,205520896,1048576,1048576,1048576,196,205520896,205520896,200704,3211264,1,7,13,7,1,1,1,14,14,14,64,1
DoVit_Maestro_Exit1,BB_L0_FFN1,64,179830797,4006830,4.57143,1140.91,3222030,90.0881,9,4.59329,9,1,9,258,6,1,1,200704,4194304,205170000000,822083584,78.2272,1.3248,0.8901,9.64605,822083584,821821504,821821504,200704,1.00032,822083584,4194304,4194304,4194304,196,822083584,822083584,802816,12845056,1,7,13,7,1,1,1,14,14,14,64,1
DoVit_Maestro_Exit1,BB_L0_FFN2,64,179830797,5202590,4.57143,878.683,3222030,90.0881,9,4.59439,9,1,9,258,6,1,1,802816,4194304,158014000000,822083584,78.2272,1.3248,0.8901,9.64605,822083584,822018112,822018112,802816,1.00008,822083584,4194304,4194304,4194304,196,822083584,822083584,200704,12845056,1,7,13,7,1,1,1,14,14,14,64,1
DoVit_Maestro_Exit1,BB_L1_Attn_Q_Proj,64,44957709,2492850,4.57143,1833.81,3222030,90.0881,9,4.5933,9,1,9,258,6,1,1,200704,1048576,82444100000,205520896,78.2272,1.3248,0.8901,9.64605,205520896,205455424,205455424,200704,1.00032,205520896,1048576,1048576,1048576,196,205520896,205520896,200704,3211264,1,7,13,7,1,1,1,14,14,14,64,1
DoVit_Maestro_Exit1,BB_L1_Attn_K_Proj,64,44957709,1300440,4.57143,3515.3,3222030,90.0881,9,4.5933,9,1,9,258,6,1,1,200704,1048576,158040000000,205520896,78.2272,1.3248,0.8901,9.64605,205520896,205455424,205455424,200704,1.00032,205520896,1048576,1048576,1048576,196,205520896,205520896,200704,3211264,1,7,13,7,1,1,1,14,14,14,64,1
DoVit_Maestro_Exit1,BB_L1_Attn_V_Proj,64,44957709,1300440,4.57143,3515.3,3222030,90.0881,9,4.5933,9,1,9,258,6,1,1,200704,1048576,158040000000,205520896,78.2272,1.3248,0.8901,9.64605,205520896,205455424,205455424,200704,1.00032,205520896,1048576,1048576,1048576,196,205520896,205520896,200704,3211264,1,7,13,7,1,1,1,14,14,14,64,1
